구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,숭인동,익성씨티하임,14.48,15,2013,8500,19,2026,9,4
종로구,숭인동,영하우스,20.27,4,2015,2000,58,2026,9,4
종로구,숭인동,종로센트레빌,59.92,3,2008,53550,0,2026,9,2
종로구,명륜2가,어젤리아명륜1,25.9653,5,2019,1000,82,2026,9,1
종로구,숭인동,숭인한양LEEPS,12.78,11,2014,11000,0,2026,9,2
종로구,평동,경희궁자이(3단지),84.9443,15,2017,50000,320,2026,9,2
종로구,평창동,롯데낙천대,84.21,4,2001,60000,0,2026,9,2
종로구,효제동,이지마루종로,19.31,13,2021,1000,125,2026,9,1
종로구,무악동,현대,60,2,2000,60000,0,2026,9,1
중구,황학동,롯데캐슬,59.91,23,2008,65000,0,2026,9,3
중구,인현동2가,세운푸르지오헤리시티,28.4064,22,2023,5000,150,2026,9,1
중구,신당동,한스아파트B,18.9,2,2012,13500,10,2026,9,3
중구,신당동,신당동파라다이스,59.9,4,2000,30000,48,2026,9,3
중구,입정동,힐스테이트세운센트럴2단지,42.998,6,2023,3000,250,2026,9,2
중구,흥인동,동대문와이즈캐슬,15.55,15,2014,1000,75,2026,9,1
중구,오장동,오렌지카운티을지로,24.19,10,2020,20000,50,2026,9,1
중구,신당동,남산타운,59.94,3,2002,53500,0,2026,9,1
중구,황학동,황학아크로타워,84.962,15,2010,78750,0,2026,9,1
중구,만리동2가,서울역한라비발디센트럴,71.9832,14,2018,5000,320,2026,9,1
용산구,후암동,힐튼빌리지1차,82.35,1,2002,2000,127,2026,9,1
용산구,산천동,리버힐삼성,59.55,9,2001,10000,220,2026,9,4
용산구,원효로1가,용산원효루미니,43.9656,16,2022,17344,80,2026,9,4
용산구,이촌동,우성,84.86,10,1995,40000,228,2026,9,3
용산구,한남동,한남힐스테이트,130.898,5,2003,40000,330,2026,9,3
용산구,원효로1가,용산원효루미니,43.9485,22,2022,18480,86,2026,9,4
용산구,문배동,아크로타워,126.3,28,2007,10000,400,2026,9,4
용산구,산천동,한강타운,59.69,11,2001,55650,0,2026,9,4
