구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
종로구,창신동,창신이수,84.5,17,2003,97000,2026,7,10,중개거래
종로구,평창동,삼성,84.93,10,1998,77000,2026,7,31,중개거래
종로구,숭인동,종로센트레빌,59.92,3,2008,116000,2026,7,25,중개거래
종로구,구기동,마운틴뷰,73.39,3,2019,62000,2026,7,31,중개거래
종로구,숭인동,종로센트레빌,59.92,6,2008,110000,2026,7,27,중개거래
종로구,신교동,신현(101동),84.82,3,2002,95500,2026,7,14,중개거래
종로구,무악동,현대,114.9,18,2000,171980,2026,7,9,중개거래
종로구,평창동,갑을아파트,30.46,9,1997,17000,2026,7,24,중개거래
종로구,창신동,창신쌍용1,79.87,7,1992,93800,2026,7,23,중개거래
종로구,홍파동,경희궁자이(2단지),84.8359,9,2017,273000,2026,7,23,중개거래
종로구,숭인동,삼전솔하임4차,15.09,11,2014,10300,2026,7,9,중개거래
종로구,창신동,창신이수,84.5,19,2003,89000,2026,7,15,중개거래
종로구,창신동,창신이수,84.5,5,2003,96000,2026,7,17,중개거래
종로구,무악동,현대,114.9,20,2000,167980,2026,7,15,중개거래
종로구,숭인동,종로청계힐스테이트,59.9426,10,2009,109500,2026,7,17,중개거래
종로구,창신동,창신쌍용2,79.87,4,1993,92000,2026,7,17,중개거래
종로구,숭인동,종로센트레빌,84.92,2,2008,125000,2026,7,17,중개거래
종로구,수송동,로얄팰리스스위트,83.26,6,2005,110000,2026,7,10,중개거래
종로구,숭인동,종로청계힐스테이트,59.9426,11,2009,63500,2026,7,14,중개거래
종로구,명륜2가,아남1,84.9,14,1995,128500,2026,7,1,중개거래
종로구,견지동,대성스카이렉스,149.8,13,2008,157500,2026,7,3,중개거래
종로구,명륜2가,아남1,84.9,13,1995,129500,2026,7,9,중개거래
종로구,평창동,일성빌라트,84.99,3,1996,86300,2026,7,7,중개거래
종로구,창신동,창신쌍용2,64.66,9,1993,82000,2026,7,13,중개거래
종로구,평창동,삼성,59.95,15,1998,66300,2026,7,10,중개거래
종로구,창신동,창신이수,84.5,17,2003,97000,2026,7,10,중개거래
종로구,창신동,두산,84.9,12,1999,116000,2026,7,10,중개거래
종로구,평창동,삼성,59.95,15,1998,66300,2026,7,10,중개거래
