구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
동대문구,장안동,삼현팰리체,68.04,8,2011,65000,2026,9,2,중개거래
동대문구,이문동,현대,59.92,14,2000,96700,2026,9,1,중개거래
중랑구,신내동,화성.두산아파트,66.96,6,1995,74000,2026,9,1,중개거래
강북구,미아동,신일,84.91,1,2003,50000,2026,9,2,직거래
도봉구,방학동,청구아파트,84.97,6,1994,59000,2026,9,1,중개거래
도봉구,쌍문동,삼익세라믹,58.77,5,1988,42800,2026,9,1,중개거래
은평구,대조동,북한산포레스트,19.08,3,2021,19000,2026,9,2,중개거래
은평구,진관동,상림마을7단지아이파크(730~742동)BL1-14,84.63,4,2008,60000,2026,9,1,직거래
은평구,응암동,남청파인힐,55.14,2,2001,43000,2026,9,1,중개거래
서대문구,북아현동,e편한세상신촌2단지,59.85,13,2018,196500,2026,9,1,중개거래
구로구,신도림동,우성3,84.75,6,1993,83500,2026,9,1,직거래
구로구,구로동,중앙하이츠,79.97,8,1987,76000,2026,9,1,중개거래
관악구,봉천동,동아타운21,125.42,5,2003,90000,2026,9,1,중개거래
관악구,봉천동,동아타운21,125.42,5,2003,90000,2026,9,1,중개거래
서초구,서초동,서초1차e-편한세상,130.53,10,2004,270000,2026,9,1,중개거래
송파구,문정동,문정시영,25.65,5,1989,75500,2026,9,1,중개거래
